dataset,seq,subject_id,path,T,C,t_start,t_end,roi_names,passed,fps_est,duration_ratio,split
BH,'0_0,0_0,Dataset/3_ROI/BH_RAW/0_0.npz,901,9,0.0,60.66293215751648,"forehead_strip,left_cheek_big,right_cheek_big",,15.908002730789653,1.0,train
BH,'0_1,0_1,Dataset/3_ROI/BH_RAW/0_1.npz,901,9,0.0,60.74157094955444,"forehead_strip,left_cheek_big,right_cheek_big",,15.911170964408209,1.0,val
BH,'0_2,0_2,Dataset/3_ROI/BH_RAW/0_2.npz,901,9,0.0,60.12894701957703,"forehead_strip,left_cheek_big,right_cheek_big",,15.910144922038732,1.0,val
BH,'10_0,10_0,Dataset/3_ROI/BH_RAW/10_0.npz,901,9,0.0,60.28232002258301,"forehead_strip,left_cheek_big,right_cheek_big",,15.90353917204411,1.0,train
BH,'10_1,10_1,Dataset/3_ROI/BH_RAW/10_1.npz,901,9,0.0,59.80095100402832,"forehead_strip,left_cheek_big,right_cheek_big",,15.905077007377464,1.0,train
BH,'10_2,10_2,Dataset/3_ROI/BH_RAW/10_2.npz,901,9,0.0,59.964107990264885,"forehead_strip,left_cheek_big,right_cheek_big",,15.909511256092928,1.0,train
BH,'11_0,11_0,Dataset/3_ROI/BH_RAW/11_0.npz,901,9,0.0,60.67473101615906,"forehead_strip,left_cheek_big,right_cheek_big",,15.91482354191093,1.0,train
BH,'11_1,11_1,Dataset/3_ROI/BH_RAW/11_1.npz,901,9,0.0,60.42175602912904,"forehead_strip,left_cheek_big,right_cheek_big",,15.914823541911831,1.0,train
BH,'11_2,11_2,Dataset/3_ROI/BH_RAW/11_2.npz,901,9,0.0,62.13324403762817,"forehead_strip,left_cheek_big,right_cheek_big",,15.909752646692564,1.0,train
BH,'12_0,12_0,Dataset/3_ROI/BH_RAW/12_0.npz,901,9,0.0,60.1294949054718,"forehead_strip,left_cheek_big,right_cheek_big",,15.9069770969785,1.0,train
BH,'12_1,12_1,Dataset/3_ROI/BH_RAW/12_1.npz,901,9,0.0,60.08653497695922,"forehead_strip,left_cheek_big,right_cheek_big",,15.910507039528714,1.0,train
BH,'12_2,12_2,Dataset/3_ROI/BH_RAW/12_2.npz,901,9,0.0,60.14328098297119,"forehead_strip,left_cheek_big,right_cheek_big",,15.91255935003788,1.0,train
BH,'13_0,13_0,Dataset/3_ROI/BH_RAW/13_0.npz,901,9,0.0,60.28337001800537,"forehead_strip,left_cheek_big,right_cheek_big",,15.90812340228725,1.0,train
BH,'13_1,13_1,Dataset/3_ROI/BH_RAW/13_1.npz,901,9,0.0,60.07300806045532,"forehead_strip,left_cheek_big,right_cheek_big",,15.912257506464549,1.0,train
BH,'13_2,13_2,Dataset/3_ROI/BH_RAW/13_2.npz,901,9,0.0,59.82107186317444,"forehead_strip,left_cheek_big,right_cheek_big",,15.912438611234332,1.0,test
BH,'14_0,14_0,Dataset/3_ROI/BH_RAW/14_0.npz,901,9,0.0,60.281785011291504,"forehead_strip,left_cheek_big,right_cheek_big",,15.91026562603813,1.0,train
BH,'14_1,14_1,Dataset/3_ROI/BH_RAW/14_1.npz,901,9,0.0,60.14885902404785,"forehead_strip,left_cheek_big,right_cheek_big",,15.907520063109668,1.0,train
BH,'14_2,14_2,Dataset/3_ROI/BH_RAW/14_2.npz,901,9,0.0,60.079752922058105,"forehead_strip,left_cheek_big,right_cheek_big",,15.907580394966097,1.0,train
BH,'15_0,15_0,Dataset/3_ROI/BH_RAW/15_0.npz,901,9,0.0,60.2127799987793,"forehead_strip,left_cheek_big,right_cheek_big",,15.912710276117208,1.0,train
BH,'15_1,15_1,Dataset/3_ROI/BH_RAW/15_1.npz,901,9,0.0,60.14214086532593,"forehead_strip,left_cheek_big,right_cheek_big",,15.91041650861088,1.0,train
BH,'15_2,15_2,Dataset/3_ROI/BH_RAW/15_2.npz,901,9,0.0,60.13126707077026,"forehead_strip,left_cheek_big,right_cheek_big",,15.909782821031763,1.0,val
BH,'16_0,16_0,Dataset/3_ROI/BH_RAW/16_0.npz,901,9,0.0,60.01929998397827,"forehead_strip,left_cheek_big,right_cheek_big",,15.910748460346452,1.0,val
BH,'16_1,16_1,Dataset/3_ROI/BH_RAW/16_1.npz,901,9,0.0,60.03278994560242,"forehead_strip,left_cheek_big,right_cheek_big",,15.912287690305757,1.0,train
BH,'16_2,16_2,Dataset/3_ROI/BH_RAW/16_2.npz,901,9,0.0,59.93248009681702,"forehead_strip,left_cheek_big,right_cheek_big",,15.910144922038285,1.0,val
BH,'17_0,17_0,Dataset/3_ROI/BH_RAW/17_0.npz,901,9,0.0,60.30886793136597,"forehead_strip,left_cheek_big,right_cheek_big",,15.9126800906728,1.0,train
BH,'17_1,17_1,Dataset/3_ROI/BH_RAW/17_1.npz,901,9,0.0,60.33545184135437,"forehead_strip,left_cheek_big,right_cheek_big",,15.91138222485243,1.0,train
BH,'17_2,17_2,Dataset/3_ROI/BH_RAW/17_2.npz,901,9,0.0,46.124629974365234,"forehead_strip,left_cheek_big,right_cheek_big",,21.32720445225163,1.0,train
BH,'18_0,18_0,Dataset/3_ROI/BH_RAW/18_0.npz,901,9,0.0,60.2577838897705,"forehead_strip,left_cheek_big,right_cheek_big",,15.914098930410043,1.0,train
BH,'18_1,18_1,Dataset/3_ROI/BH_RAW/18_1.npz,901,9,0.0,60.40424108505249,"forehead_strip,left_cheek_big,right_cheek_big",,15.90999404461608,1.0,train
BH,'18_2,18_2,Dataset/3_ROI/BH_RAW/18_2.npz,901,9,0.0,60.08440113067626,"forehead_strip,left_cheek_big,right_cheek_big",,15.906705627813016,1.0,val
BH,'19_0,19_0,Dataset/3_ROI/BH_RAW/19_0.npz,901,9,0.0,60.86209988594055,"forehead_strip,left_cheek_big,right_cheek_big",,15.913706460064232,1.0,train
BH,'19_1,19_1,Dataset/3_ROI/BH_RAW/19_1.npz,901,9,0.0,60.53749704360962,"forehead_strip,left_cheek_big,right_cheek_big",,15.913314009075544,1.0,train
BH,'19_2,19_2,Dataset/3_ROI/BH_RAW/19_2.npz,901,9,0.0,46.63220906257629,"forehead_strip,left_cheek_big,right_cheek_big",,21.319236751415488,1.0,train
BH,'1_0,1_0,Dataset/3_ROI/BH_RAW/1_0.npz,901,9,0.0,61.07023811340332,"forehead_strip,left_cheek_big,right_cheek_big",,15.915910582896,1.0,train
BH,'1_1,1_1,Dataset/3_ROI/BH_RAW/1_1.npz,901,9,0.0,60.27380394935608,"forehead_strip,left_cheek_big,right_cheek_big",,15.913676270839632,1.0,train
BH,'1_2,1_2,Dataset/3_ROI/BH_RAW/1_2.npz,901,9,0.0,60.14516091346741,"forehead_strip,left_cheek_big,right_cheek_big",,15.913706460064796,1.0,train
BH,'20_0,20_0,Dataset/3_ROI/BH_RAW/20_0.npz,901,9,0.0,60.143115997314446,"forehead_strip,left_cheek_big,right_cheek_big",,15.911925491759089,1.0,train
BH,'20_1,20_1,Dataset/3_ROI/BH_RAW/20_1.npz,901,9,0.0,59.96510696411133,"forehead_strip,left_cheek_big,right_cheek_big",,15.908606106580692,1.0,val
BH,'20_2,20_2,Dataset/3_ROI/BH_RAW/20_2.npz,901,9,0.0,59.939327001571655,"forehead_strip,left_cheek_big,right_cheek_big",,15.910295802323922,1.0,train
BH,'21_0,21_0,Dataset/3_ROI/BH_RAW/21_0.npz,901,9,0.0,59.94501495361328,"forehead_strip,left_cheek_big,right_cheek_big",,15.911653853669058,1.0,train
BH,'21_1,21_1,Dataset/3_ROI/BH_RAW/21_1.npz,901,9,0.0,60.212197065353394,"forehead_strip,left_cheek_big,right_cheek_big",,15.911684035220164,1.0,train
BH,'21_2,21_2,Dataset/3_ROI/BH_RAW/21_2.npz,901,9,0.0,60.12959408760072,"forehead_strip,left_cheek_big,right_cheek_big",,15.914461227911962,1.0,train
BH,'22_0,22_0,Dataset/3_ROI/BH_RAW/22_0.npz,901,9,0.0,60.19574809074402,"forehead_strip,left_cheek_big,right_cheek_big",,15.910507039527811,1.0,train
BH,'22_1,22_1,Dataset/3_ROI/BH_RAW/22_1.npz,901,9,0.0,60.08615589141846,"forehead_strip,left_cheek_big,right_cheek_big",,15.916212565079462,1.0,train
BH,'22_2,22_2,Dataset/3_ROI/BH_RAW/22_2.npz,901,9,0.0,59.877745151519775,"forehead_strip,left_cheek_big,right_cheek_big",,15.912559350038553,1.0,train
BH,'23_0,23_0,Dataset/3_ROI/BH_RAW/23_0.npz,901,9,0.0,60.35147500038146,"forehead_strip,left_cheek_big,right_cheek_big",,15.912921577442772,1.0,train
BH,'23_1,23_1,Dataset/3_ROI/BH_RAW/23_1.npz,901,9,0.0,60.799846887588494,"forehead_strip,left_cheek_big,right_cheek_big",,15.913042323575665,1.0,train
BH,'23_2,23_2,Dataset/3_ROI/BH_RAW/23_2.npz,901,9,0.0,59.94219422340393,"forehead_strip,left_cheek_big,right_cheek_big",,15.913555515086417,1.0,train
BH,'24_0,24_0,Dataset/3_ROI/BH_RAW/24_0.npz,901,9,0.0,60.214025020599365,"forehead_strip,left_cheek_big,right_cheek_big",,15.907882061123262,1.0,train
BH,'24_1,24_1,Dataset/3_ROI/BH_RAW/24_1.npz,901,9,0.0,60.083091974258416,"forehead_strip,left_cheek_big,right_cheek_big",,15.91168403522039,1.0,train
BH,'24_2,24_2,Dataset/3_ROI/BH_RAW/24_2.npz,901,9,0.0,60.20950102806091,"forehead_strip,left_cheek_big,right_cheek_big",,15.910144922038732,1.0,train
BH,'25_0,25_0,Dataset/3_ROI/BH_RAW/25_0.npz,901,9,0.0,60.15288805961609,"forehead_strip,left_cheek_big,right_cheek_big",,15.91458199741204,1.0,test
BH,'25_1,25_1,Dataset/3_ROI/BH_RAW/25_1.npz,901,9,0.0,60.00370907783508,"forehead_strip,left_cheek_big,right_cheek_big",,15.91062774902178,1.0,val
BH,'25_2,25_2,Dataset/3_ROI/BH_RAW/25_2.npz,901,9,0.0,60.02511405944824,"forehead_strip,left_cheek_big,right_cheek_big",,15.90721841068338,1.0,train
BH,'26_0,26_0,Dataset/3_ROI/BH_RAW/26_0.npz,901,9,0.0,60.358078956604,"forehead_strip,left_cheek_big,right_cheek_big",,15.908998325390158,1.0,train
BH,'26_1,26_1,Dataset/3_ROI/BH_RAW/26_1.npz,901,9,0.0,59.938157081604,"forehead_strip,left_cheek_big,right_cheek_big",,15.912891391195808,1.0,train
BH,'26_2,26_2,Dataset/3_ROI/BH_RAW/26_2.npz,901,9,0.0,60.15061712265016,"forehead_strip,left_cheek_big,right_cheek_big",,15.91301213687037,1.0,train
BH,'27_0,27_0,Dataset/3_ROI/BH_RAW/27_0.npz,901,9,0.0,61.80711579322815,"forehead_strip,left_cheek_big,right_cheek_big",,15.912166955623531,1.0,train
BH,'27_1,27_1,Dataset/3_ROI/BH_RAW/27_1.npz,901,9,0.0,60.023536920547485,"forehead_strip,left_cheek_big,right_cheek_big",,15.909873344739148,1.0,train
BH,'27_2,27_2,Dataset/3_ROI/BH_RAW/27_2.npz,901,9,0.0,60.002936840057366,"forehead_strip,left_cheek_big,right_cheek_big",,15.917722647902886,1.0,train
BH,'28_0,28_0,Dataset/3_ROI/BH_RAW/28_0.npz,901,9,0.0,60.40514302253723,"forehead_strip,left_cheek_big,right_cheek_big",,15.90887764061992,1.0,test
