dataset,seq,subject_id,path,T,C,t_start,t_end,roi_names,passed,fps_est,duration_ratio,split
COHFACE,'Subj_10_0,Subj_10_0,Dataset/3_ROI/COHFACE_RAW/Subj_10_0.npz,1227,9,0.0,61.3,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_1,Subj_10_1,Dataset/3_ROI/COHFACE_RAW/Subj_10_1.npz,1227,9,0.0,61.3,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,val
COHFACE,'Subj_10_2,Subj_10_2,Dataset/3_ROI/COHFACE_RAW/Subj_10_2.npz,1221,9,0.0,61.0,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001985143442623,train
COHFACE,'Subj_10_3,Subj_10_3,Dataset/3_ROI/COHFACE_RAW/Subj_10_3.npz,1228,9,0.0,61.35,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013625713121437,train
COHFACE,'Subj_11_0,Subj_11_0,Dataset/3_ROI/COHFACE_RAW/Subj_11_0.npz,1226,9,0.0,61.25,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_1,Subj_11_1,Dataset/3_ROI/COHFACE_RAW/Subj_11_1.npz,1265,9,0.0,63.2,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0017182555379749,train
COHFACE,'Subj_11_2,Subj_11_2,Dataset/3_ROI/COHFACE_RAW/Subj_11_2.npz,1226,9,0.0,61.25,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_3,Subj_11_3,Dataset/3_ROI/COHFACE_RAW/Subj_11_3.npz,1227,9,0.0,61.3,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_12_0,Subj_12_0,Dataset/3_ROI/COHFACE_RAW/Subj_12_0.npz,1577,9,0.0,78.8,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0016953521573604,train
COHFACE,'Subj_12_1,Subj_12_1,Dataset/3_ROI/COHFACE_RAW/Subj_12_1.npz,1224,9,0.0,61.15,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0025935200327063,train
COHFACE,'Subj_12_2,Subj_12_2,Dataset/3_ROI/COHFACE_RAW/Subj_12_2.npz,1285,9,0.0,64.2,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0016914914330215,train
COHFACE,'Subj_12_3,Subj_12_3,Dataset/3_ROI/COHFACE_RAW/Subj_12_3.npz,1233,9,0.0,61.6,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001357041396104,train
COHFACE,'Subj_13_0,Subj_13_0,Dataset/3_ROI/COHFACE_RAW/Subj_13_0.npz,1221,9,0.0,61.0,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001985143442623,train
COHFACE,'Subj_13_1,Subj_13_1,Dataset/3_ROI/COHFACE_RAW/Subj_13_1.npz,1228,9,0.0,61.35,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013625713121437,train
COHFACE,'Subj_13_2,Subj_13_2,Dataset/3_ROI/COHFACE_RAW/Subj_13_2.npz,1243,9,0.0,62.1,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001346115136876,test
COHFACE,'Subj_13_3,Subj_13_3,Dataset/3_ROI/COHFACE_RAW/Subj_13_3.npz,1225,9,0.0,61.2,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0017744076797386,train
COHFACE,'Subj_14_0,Subj_14_0,Dataset/3_ROI/COHFACE_RAW/Subj_14_0.npz,1248,9,0.0,62.35,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001340717722534,train
COHFACE,'Subj_14_1,Subj_14_1,Dataset/3_ROI/COHFACE_RAW/Subj_14_1.npz,1234,9,0.0,61.65,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001558698296837,train
COHFACE,'Subj_14_2,Subj_14_2,Dataset/3_ROI/COHFACE_RAW/Subj_14_2.npz,1244,9,0.0,62.15,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0015461584875305,train
COHFACE,'Subj_14_3,Subj_14_3,Dataset/3_ROI/COHFACE_RAW/Subj_14_3.npz,1235,9,0.0,61.7,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001760028363047,train
COHFACE,'Subj_15_0,Subj_15_0,Dataset/3_ROI/COHFACE_RAW/Subj_15_0.npz,1298,9,0.0,64.85,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.002252794911334,test
COHFACE,'Subj_15_1,Subj_15_1,Dataset/3_ROI/COHFACE_RAW/Subj_15_1.npz,1223,9,0.0,61.1,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013681464811783,val
COHFACE,'Subj_15_2,Subj_15_2,Dataset/3_ROI/COHFACE_RAW/Subj_15_2.npz,1227,9,0.0,61.3,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0011597675367048,train
COHFACE,'Subj_15_3,Subj_15_3,Dataset/3_ROI/COHFACE_RAW/Subj_15_3.npz,1255,9,0.0,62.7,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0017319577352473,train
COHFACE,'Subj_16_0,Subj_16_0,Dataset/3_ROI/COHFACE_RAW/Subj_16_0.npz,1232,9,0.0,61.55,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.002170491470349,train
COHFACE,'Subj_16_1,Subj_16_1,Dataset/3_ROI/COHFACE_RAW/Subj_16_1.npz,1238,9,0.0,61.85,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0023620654810024,train
COHFACE,'Subj_16_2,Subj_16_2,Dataset/3_ROI/COHFACE_RAW/Subj_16_2.npz,1232,9,0.0,61.55,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001155056864338,train
COHFACE,'Subj_16_3,Subj_16_3,Dataset/3_ROI/COHFACE_RAW/Subj_16_3.npz,1228,9,0.0,61.35,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013625713121437,train
COHFACE,'Subj_17_0,Subj_17_0,Dataset/3_ROI/COHFACE_RAW/Subj_17_0.npz,1226,9,0.0,61.25,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0019770408163264,train
COHFACE,'Subj_17_1,Subj_17_1,Dataset/3_ROI/COHFACE_RAW/Subj_17_1.npz,1219,9,0.0,60.9,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.00157789408867,train
COHFACE,'Subj_17_2,Subj_17_2,Dataset/3_ROI/COHFACE_RAW/Subj_17_2.npz,1218,9,0.0,60.85,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0024008833196385,train
COHFACE,'Subj_17_3,Subj_17_3,Dataset/3_ROI/COHFACE_RAW/Subj_17_3.npz,1239,9,0.0,61.9,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001552403069467,train
COHFACE,'Subj_18_0,Subj_18_0,Dataset/3_ROI/COHFACE_RAW/Subj_18_0.npz,1243,9,0.0,62.1,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001346115136876,train
COHFACE,'Subj_18_1,Subj_18_1,Dataset/3_ROI/COHFACE_RAW/Subj_18_1.npz,1239,9,0.0,61.9,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001552403069467,train
COHFACE,'Subj_18_2,Subj_18_2,Dataset/3_ROI/COHFACE_RAW/Subj_18_2.npz,1226,9,0.0,61.25,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0019770408163264,train
COHFACE,'Subj_18_3,Subj_18_3,Dataset/3_ROI/COHFACE_RAW/Subj_18_3.npz,1244,9,0.0,62.15,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0015461584875305,train
COHFACE,'Subj_19_0,Subj_19_0,Dataset/3_ROI/COHFACE_RAW/Subj_19_0.npz,1209,9,0.0,60.4,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0015909561258278,train
COHFACE,'Subj_19_1,Subj_19_1,Dataset/3_ROI/COHFACE_RAW/Subj_19_1.npz,1209,9,0.0,60.4,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0015909561258278,val
COHFACE,'Subj_19_2,Subj_19_2,Dataset/3_ROI/COHFACE_RAW/Subj_19_2.npz,1211,9,0.0,60.5,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.002001549586777,train
COHFACE,'Subj_19_3,Subj_19_3,Dataset/3_ROI/COHFACE_RAW/Subj_19_3.npz,1210,9,0.0,60.45,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001796422663358,train
COHFACE,'Subj_1_0,Subj_1_0,Dataset/3_ROI/COHFACE_RAW/Subj_1_0.npz,1205,9,0.0,60.2,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0018038828903657,train
COHFACE,'Subj_1_1,Subj_1_1,Dataset/3_ROI/COHFACE_RAW/Subj_1_1.npz,1207,9,0.0,60.3,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0011790008291874,train
COHFACE,'Subj_1_2,Subj_1_2,Dataset/3_ROI/COHFACE_RAW/Subj_1_2.npz,1208,9,0.0,60.35,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0003495236122617,train
COHFACE,'Subj_1_3,Subj_1_3,Dataset/3_ROI/COHFACE_RAW/Subj_1_3.npz,1207,9,0.0,60.3,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0011790008291874,train
COHFACE,'Subj_20_0,Subj_20_0,Dataset/3_ROI/COHFACE_RAW/Subj_20_0.npz,1209,9,0.0,60.4,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0015909561258278,train
COHFACE,'Subj_20_1,Subj_20_1,Dataset/3_ROI/COHFACE_RAW/Subj_20_1.npz,1209,9,0.0,60.4,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0015909561258278,train
COHFACE,'Subj_20_2,Subj_20_2,Dataset/3_ROI/COHFACE_RAW/Subj_20_2.npz,1210,9,0.0,60.45,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001796422663358,train
