dataset,seq,subject_id,path,T,C,t_start,t_end,roi_names,passed,fps_est,duration_ratio,split
BH,'0_0,0_0,Dataset/3_ROI/BH_RAW/0_0.npz,901,9,0.0,60.66293215751648,"forehead_strip,left_cheek_big,right_cheek_big",,15.908002730789653,1.0,train
BH,'0_0_x0.75,0_0,Dataset/3_ROI/MEGA_AUG/aug_npz/BH_0_0_0_0_x0.75.npz,1201,9,0.0,75.433731,"forehead_strip,left_cheek_big,right_cheek_big",,15.908002730789653,1.0,train
BH,'0_0_x1.2,0_0,Dataset/3_ROI/MEGA_AUG/aug_npz/BH_0_0_0_0_x1.2.npz,751,9,0.0,47.146082,"forehead_strip,left_cheek_big,right_cheek_big",,15.908002730789653,1.0,train
BH,'0_0_x1.4,0_0,Dataset/3_ROI/MEGA_AUG/aug_npz/BH_0_0_0_0_x1.4.npz,644,9,0.0,40.419908,"forehead_strip,left_cheek_big,right_cheek_big",,15.908002730789653,1.0,train
BH,'0_0_x1.6,0_0,Dataset/3_ROI/MEGA_AUG/aug_npz/BH_0_0_0_0_x1.6.npz,563,9,0.0,35.328131,"forehead_strip,left_cheek_big,right_cheek_big",,15.908002730789653,1.0,train
BH,'0_0_x1.8,0_0,Dataset/3_ROI/MEGA_AUG/aug_npz/BH_0_0_0_0_x1.8.npz,501,9,0.0,31.430721,"forehead_strip,left_cheek_big,right_cheek_big",,15.908002730789653,1.0,train
BH,'0_1,0_1,Dataset/3_ROI/BH_RAW/0_1.npz,901,9,0.0,60.74157094955444,"forehead_strip,left_cheek_big,right_cheek_big",,15.911170964408209,1.0,train
BH,'0_1_x0.65,0_1,Dataset/3_ROI/MEGA_AUG/aug_npz/BH_0_1_0_1_x0.65.npz,1386,9,0.0,87.045762,"forehead_strip,left_cheek_big,right_cheek_big",,15.911170964408209,1.0,train
BH,'0_1_x0.75,0_1,Dataset/3_ROI/MEGA_AUG/aug_npz/BH_0_1_0_1_x0.75.npz,1201,9,0.0,75.418711,"forehead_strip,left_cheek_big,right_cheek_big",,15.911170964408209,1.0,train
BH,'0_1_x1.2,0_1,Dataset/3_ROI/MEGA_AUG/aug_npz/BH_0_1_0_1_x1.2.npz,751,9,0.0,47.136694,"forehead_strip,left_cheek_big,right_cheek_big",,15.911170964408209,1.0,train
