dataset,seq,subject_id,path,T,C,t_start,t_end,roi_names,passed,fps_est,duration_ratio,split
COHFACE,'Subj_10_0,Subj_10_0,Dataset/3_ROI/COHFACE_RAW/Subj_10_0.npz,1227,9,0.0,61.3,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_0_x0.55,Subj_10_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_0_Subj_10_0_x0.55.npz,2231,9,0.0,111.500000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_0_x0.65,Subj_10_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_0_Subj_10_0_x0.65.npz,1888,9,0.0,94.350000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_0_x0.75,Subj_10_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_0_Subj_10_0_x0.75.npz,1636,9,0.0,81.750000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_0_x1.2,Subj_10_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_0_Subj_10_0_x1.2.npz,1022,9,0.0,51.050000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_0_x1.4,Subj_10_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_0_Subj_10_0_x1.4.npz,876,9,0.0,43.750000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_0_x1.6,Subj_10_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_0_Subj_10_0_x1.6.npz,767,9,0.0,38.300000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_0_x1.8,Subj_10_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_0_Subj_10_0_x1.8.npz,682,9,0.0,34.050000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_1,Subj_10_1,Dataset/3_ROI/COHFACE_RAW/Subj_10_1.npz,1227,9,0.0,61.3,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_1_x0.55,Subj_10_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_1_Subj_10_1_x0.55.npz,2231,9,0.0,111.500000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_1_x0.65,Subj_10_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_1_Subj_10_1_x0.65.npz,1888,9,0.0,94.350000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_1_x0.75,Subj_10_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_1_Subj_10_1_x0.75.npz,1636,9,0.0,81.750000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_1_x1.2,Subj_10_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_1_Subj_10_1_x1.2.npz,1022,9,0.0,51.050000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_1_x1.4,Subj_10_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_1_Subj_10_1_x1.4.npz,876,9,0.0,43.750000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_1_x1.6,Subj_10_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_1_Subj_10_1_x1.6.npz,767,9,0.0,38.300000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_1_x1.8,Subj_10_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_1_Subj_10_1_x1.8.npz,682,9,0.0,34.050000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0021793433931483,train
COHFACE,'Subj_10_2,Subj_10_2,Dataset/3_ROI/COHFACE_RAW/Subj_10_2.npz,1221,9,0.0,61.0,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001985143442623,train
COHFACE,'Subj_10_2_x0.55,Subj_10_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_2_Subj_10_2_x0.55.npz,2220,9,0.0,110.950000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001985143442623,train
COHFACE,'Subj_10_2_x0.65,Subj_10_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_2_Subj_10_2_x0.65.npz,1878,9,0.0,93.850000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001985143442623,train
COHFACE,'Subj_10_2_x0.75,Subj_10_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_2_Subj_10_2_x0.75.npz,1628,9,0.0,81.350000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001985143442623,train
COHFACE,'Subj_10_2_x1.2,Subj_10_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_2_Subj_10_2_x1.2.npz,1018,9,0.0,50.850000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001985143442623,train
COHFACE,'Subj_10_2_x1.4,Subj_10_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_2_Subj_10_2_x1.4.npz,872,9,0.0,43.550000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001985143442623,train
COHFACE,'Subj_10_2_x1.6,Subj_10_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_2_Subj_10_2_x1.6.npz,763,9,0.0,38.100000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001985143442623,train
COHFACE,'Subj_10_2_x1.8,Subj_10_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_2_Subj_10_2_x1.8.npz,678,9,0.0,33.850000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.001985143442623,train
COHFACE,'Subj_10_3,Subj_10_3,Dataset/3_ROI/COHFACE_RAW/Subj_10_3.npz,1228,9,0.0,61.35,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013625713121437,train
COHFACE,'Subj_10_3_x0.55,Subj_10_3,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_3_Subj_10_3_x0.55.npz,2233,9,0.0,111.600000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013625713121437,train
COHFACE,'Subj_10_3_x0.65,Subj_10_3,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_3_Subj_10_3_x0.65.npz,1889,9,0.0,94.400000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013625713121437,train
COHFACE,'Subj_10_3_x0.75,Subj_10_3,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_3_Subj_10_3_x0.75.npz,1637,9,0.0,81.800000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013625713121437,train
COHFACE,'Subj_10_3_x1.2,Subj_10_3,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_3_Subj_10_3_x1.2.npz,1023,9,0.0,51.100000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013625713121437,train
COHFACE,'Subj_10_3_x1.4,Subj_10_3,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_3_Subj_10_3_x1.4.npz,877,9,0.0,43.800000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013625713121437,train
COHFACE,'Subj_10_3_x1.6,Subj_10_3,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_3_Subj_10_3_x1.6.npz,768,9,0.0,38.350000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013625713121437,train
COHFACE,'Subj_10_3_x1.8,Subj_10_3,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_10_3_Subj_10_3_x1.8.npz,682,9,0.0,34.050000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0013625713121437,train
COHFACE,'Subj_11_0,Subj_11_0,Dataset/3_ROI/COHFACE_RAW/Subj_11_0.npz,1226,9,0.0,61.25,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_0_x0.65,Subj_11_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_0_Subj_11_0_x0.65.npz,1886,9,0.0,94.250000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_0_x0.75,Subj_11_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_0_Subj_11_0_x0.75.npz,1635,9,0.0,81.700000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_0_x1.2,Subj_11_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_0_Subj_11_0_x1.2.npz,1022,9,0.0,51.050000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_0_x1.4,Subj_11_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_0_Subj_11_0_x1.4.npz,876,9,0.0,43.750000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_0_x1.6,Subj_11_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_0_Subj_11_0_x1.6.npz,766,9,0.0,38.250000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_0_x1.8,Subj_11_0,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_0_Subj_11_0_x1.8.npz,681,9,0.0,34.000000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_1,Subj_11_1,Dataset/3_ROI/COHFACE_RAW/Subj_11_1.npz,1265,9,0.0,63.2,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0017182555379749,train
COHFACE,'Subj_11_1_x0.65,Subj_11_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_1_Subj_11_1_x0.65.npz,1946,9,0.0,97.250000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0017182555379749,train
COHFACE,'Subj_11_1_x0.75,Subj_11_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_1_Subj_11_1_x0.75.npz,1687,9,0.0,84.300000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0017182555379749,train
COHFACE,'Subj_11_1_x1.2,Subj_11_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_1_Subj_11_1_x1.2.npz,1054,9,0.0,52.650000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0017182555379749,train
COHFACE,'Subj_11_1_x1.4,Subj_11_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_1_Subj_11_1_x1.4.npz,904,9,0.0,45.150000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0017182555379749,train
COHFACE,'Subj_11_1_x1.6,Subj_11_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_1_Subj_11_1_x1.6.npz,791,9,0.0,39.500000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0017182555379749,train
COHFACE,'Subj_11_1_x1.8,Subj_11_1,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_1_Subj_11_1_x1.8.npz,703,9,0.0,35.100000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0017182555379749,train
COHFACE,'Subj_11_2,Subj_11_2,Dataset/3_ROI/COHFACE_RAW/Subj_11_2.npz,1226,9,0.0,61.25,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_2_x0.65,Subj_11_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_2_Subj_11_2_x0.65.npz,1886,9,0.0,94.250000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_2_x0.75,Subj_11_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_2_Subj_11_2_x0.75.npz,1635,9,0.0,81.700000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_2_x1.2,Subj_11_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_2_Subj_11_2_x1.2.npz,1022,9,0.0,51.050000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_2_x1.4,Subj_11_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_2_Subj_11_2_x1.4.npz,876,9,0.0,43.750000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_2_x1.6,Subj_11_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_2_Subj_11_2_x1.6.npz,766,9,0.0,38.250000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
COHFACE,'Subj_11_2_x1.8,Subj_11_2,Dataset/3_ROI/MEGA_AUG/aug_npz/COHFACE_Subj_11_2_Subj_11_2_x1.8.npz,681,9,0.0,34.000000,"forehead_strip,left_cheek_big,right_cheek_big",,20.0,1.0009566326530612,train
