dataset,seq,subject_id,path,T,C,t_start,t_end,roi_names,passed,fps_est,duration_ratio,split
BH,'0_0,0_0,Dataset/3_ROI/BH_RAW/0_0.npz,901,9,0.0,60.66293215751648,"forehead_strip,left_cheek_big,right_cheek_big",,15.908002730789653,1.0,train
BH,'0_1,0_1,Dataset/3_ROI/BH_RAW/0_1.npz,901,9,0.0,60.74157094955444,"forehead_strip,left_cheek_big,right_cheek_big",,15.911170964408209,1.0,train
BH,'0_2,0_2,Dataset/3_ROI/BH_RAW/0_2.npz,901,9,0.0,60.12894701957703,"forehead_strip,left_cheek_big,right_cheek_big",,15.910144922038732,1.0,train
BH,'10_0,10_0,Dataset/3_ROI/BH_RAW/10_0.npz,901,9,0.0,60.28232002258301,"forehead_strip,left_cheek_big,right_cheek_big",,15.90353917204411,1.0,train
BH,'10_1,10_1,Dataset/3_ROI/BH_RAW/10_1.npz,901,9,0.0,59.80095100402832,"forehead_strip,left_cheek_big,right_cheek_big",,15.905077007377464,1.0,train
BH,'10_2,10_2,Dataset/3_ROI/BH_RAW/10_2.npz,901,9,0.0,59.964107990264885,"forehead_strip,left_cheek_big,right_cheek_big",,15.909511256092928,1.0,train
BH,'11_0,11_0,Dataset/3_ROI/BH_RAW/11_0.npz,901,9,0.0,60.67473101615906,"forehead_strip,left_cheek_big,right_cheek_big",,15.91482354191093,1.0,train
BH,'11_1,11_1,Dataset/3_ROI/BH_RAW/11_1.npz,901,9,0.0,60.42175602912904,"forehead_strip,left_cheek_big,right_cheek_big",,15.914823541911831,1.0,train
BH,'11_2,11_2,Dataset/3_ROI/BH_RAW/11_2.npz,901,9,0.0,62.13324403762817,"forehead_strip,left_cheek_big,right_cheek_big",,15.909752646692564,1.0,train
BH,'12_0,12_0,Dataset/3_ROI/BH_RAW/12_0.npz,901,9,0.0,60.1294949054718,"forehead_strip,left_cheek_big,right_cheek_big",,15.9069770969785,1.0,train
BH,'12_1,12_1,Dataset/3_ROI/BH_RAW/12_1.npz,901,9,0.0,60.08653497695922,"forehead_strip,left_cheek_big,right_cheek_big",,15.910507039528714,1.0,train
BH,'12_2,12_2,Dataset/3_ROI/BH_RAW/12_2.npz,901,9,0.0,60.14328098297119,"forehead_strip,left_cheek_big,right_cheek_big",,15.91255935003788,1.0,train
BH,'13_0,13_0,Dataset/3_ROI/BH_RAW/13_0.npz,901,9,0.0,60.28337001800537,"forehead_strip,left_cheek_big,right_cheek_big",,15.90812340228725,1.0,train
BH,'13_1,13_1,Dataset/3_ROI/BH_RAW/13_1.npz,901,9,0.0,60.07300806045532,"forehead_strip,left_cheek_big,right_cheek_big",,15.912257506464549,1.0,train
