seq,status,n_img_ts,n_frames_extracted,n_gt_ts,t_frame_monotonic,t_frame_dt_median,t_frame_dt_std,fps_est_median,video_duration_s,gt_duration_s,duration_ratio_gt_over_video,frame_count_mismatch,gt_nan_frac,y_nan_frac,gt_std,y_std,y_jump_frac,y_min,y_max,roi_check_frames,face_fail_frac_est,forehead_strip_pix_med,forehead_strip_pix_min,forehead_strip_pix_zero_frac,left_cheek_big_pix_med,left_cheek_big_pix_min,left_cheek_big_pix_zero_frac,right_cheek_big_pix_med,right_cheek_big_pix_min,right_cheek_big_pix_zero_frac
01-01,OK,2026,2026,4018,True,0.033343999999999596,0.0025638454957841823,29.99040307101764,67.700022,67.69476900000001,0.99992240770616,0,0.0,0.0,15.224890518348236,15.144357895944257,0.02419753086419753,5.0,92.30701446533203,300,0.0,4841.5,4580.0,0.0,2096.5,1964.0,0.0,2198.0,2076.0,0.0
01-02,OK,2023,2023,4002,True,0.033343999999999596,0.002341852475652528,29.99040307101764,67.600019,67.584962,0.999777263376213,0,0.0,0.0,17.047339867278424,17.031055192860144,0.017804154302670624,0.0,98.69024658203125,300,0.0,4494.0,4263.0,0.0,1966.5,1891.0,0.0,2440.0,2325.0,0.0
01-03,OK,2481,2481,4931,True,0.033343999999999596,0.0006692191210442898,29.99040307101764,82.700022,82.71816100000001,1.0002193348872386,0,0.0,0.0,16.723653878271612,16.653719034046414,0.0012096774193548388,4.4966912269592285,92.0,300,0.0,5076.0,4743.0,0.0,2112.0,1975.0,0.0,2353.0,2269.0,0.0
01-04,OK,2492,2492,4952,True,0.033343999999999596,1.4584756782041244e-05,29.99040307101764,83.03334500000001,83.02399600000001,0.9998874066798104,0,0.0,0.0,16.604457371398475,16.58047372295835,0.0,10.0,93.7509536743164,300,0.0,5446.5,5246.0,0.0,2321.0,2250.0,0.0,2567.0,2398.0,0.0
01-05,OK,2023,2023,4007,True,0.033343999999999596,0.002222384788155156,29.99040307101764,67.566675,67.55958600000001,0.9998950814140256,0,0.0,0.0,16.296336150753003,16.1538538400033,0.005934718100890208,0.0,88.58072662353516,300,0.0,5017.0,4822.0,0.0,1927.5,1824.0,0.0,2610.5,2203.0,0.0
01-06,OK,2041,2041,4056,True,0.033343999999999596,1.4590342853228078e-05,29.99040307101764,68.0,67.999967,0.9999995147058823,0,0.0,0.0,15.335891952667195,15.286807940481465,0.005392156862745098,11.0,86.16890716552734,300,0.0,4629.5,4316.0,0.0,1611.0,1461.0,0.0,3130.5,2294.0,0.0
02-01,OK,2039,2039,4047,True,0.033338000000000534,1.1376514299098743e-05,29.995800587917213,67.93335,67.90400100000001,0.9995679736094275,0,0.0,0.0,20.79659394733142,20.733970232545317,0.015701668302257114,3.1644887924194336,94.08171081542969,300,0.0,4132.5,3795.0,0.0,1857.5,1735.0,0.0,1931.0,1833.0,0.0
02-02,OK,1972,1972,3910,True,0.033338000000000534,0.0015016611836705111,29.995800587917213,65.766683,65.77625,1.0001454687930666,0,0.0,0.0,17.585834705137287,17.538213682740828,0.03145611364789447,0.0,97.49662780761719,300,0.0,4516.5,4338.0,0.0,2024.0,1948.0,0.0,2220.0,2099.0,0.0
02-03,OK,2185,2185,4343,True,0.033338000000000534,0.0014265961174657834,29.995800587917213,72.866686,72.885704,1.0002609971860117,0,0.0,0.0,21.109657352448135,21.026275253929207,0.0086996336996337,2.0,90.62274932861328,300,0.0,3653.0,3532.0,0.0,1603.0,1536.0,0.0,1660.0,1574.0,0.0
02-04,OK,2224,2224,4421,True,0.033338000000000534,1.1391747939738841e-05,29.995800587917213,74.10002800000001,74.11199500000001,1.0001614979146836,0,0.0,0.0,17.617771329422375,17.552177795921228,0.02699055330634278,0.0,91.0,300,0.0,4780.5,4610.0,0.0,2091.0,2015.0,0.0,2194.0,2091.0,0.0
