dataset,seq,subject_id,path,T,C,t_start,t_end,roi_names,passed,fps_est,duration_ratio
UBFC,'vid_1,vid_1,Dataset/3_ROI/UBFC_RAW/vid_1.npz,1547,9,0.0,52.82922362295981,"forehead_strip,left_cheek_big,right_cheek_big",,29.26410599999992,0.997383576485123
UBFC,'vid_10,vid_10,Dataset/3_ROI/UBFC_RAW/vid_10.npz,2024,9,0.0,67.71438867496765,"forehead_strip,left_cheek_big,right_cheek_big",,29.875481999999902,1.0000237959031142
UBFC,'vid_11,vid_11,Dataset/3_ROI/UBFC_RAW/vid_11.npz,2031,9,0.0,68.34853903146013,"forehead_strip,left_cheek_big,right_cheek_big",,29.70070799999974,1.0004603019901477
UBFC,'vid_12,vid_12,Dataset/3_ROI/UBFC_RAW/vid_12.npz,1989,9,0.0,68.48162728881238,"forehead_strip,left_cheek_big,right_cheek_big",,29.029683999999616,0.9987642336760564
UBFC,'vid_13,vid_13,Dataset/3_ROI/UBFC_RAW/vid_13.npz,2018,9,0.0,67.7066024847014,"forehead_strip,left_cheek_big,right_cheek_big",,29.790299999999018,1.0002717240951906
UBFC,'vid_14,vid_14,Dataset/3_ROI/UBFC_RAW/vid_14.npz,1993,9,0.0,67.81969915086128,"forehead_strip,left_cheek_big,right_cheek_big",,29.371996999999826,1.0007121949779114
UBFC,'vid_15,vid_15,Dataset/3_ROI/UBFC_RAW/vid_15.npz,2020,9,0.0,68.231272720735,"forehead_strip,left_cheek_big,right_cheek_big",,29.590536999999937,1.0005529323689948
UBFC,'vid_16,vid_16,Dataset/3_ROI/UBFC_RAW/vid_16.npz,2050,9,0.0,68.4555401145456,"forehead_strip,left_cheek_big,right_cheek_big",,29.93183600000144,0.9999921099951196
UBFC,'vid_17,vid_17,Dataset/3_ROI/UBFC_RAW/vid_17.npz,2046,9,0.0,68.3195955266133,"forehead_strip,left_cheek_big,right_cheek_big",,29.93284700000055,0.9987178564811734
UBFC,'vid_18,vid_18,Dataset/3_ROI/UBFC_RAW/vid_18.npz,2034,9,0.0,68.34120433741084,"forehead_strip,left_cheek_big,right_cheek_big",,29.747793000000016,1.0003628215632072
UBFC,'vid_20,vid_20,Dataset/3_ROI/UBFC_RAW/vid_20.npz,2016,9,0.0,68.2924008791723,"forehead_strip,left_cheek_big,right_cheek_big",,29.505479000000044,1.0005359179111661
UBFC,'vid_22,vid_22,Dataset/3_ROI/UBFC_RAW/vid_22.npz,2032,9,0.0,68.26736781835946,"forehead_strip,left_cheek_big,right_cheek_big",,29.750671000001383,1.000419412415559
UBFC,'vid_23,vid_23,Dataset/3_ROI/UBFC_RAW/vid_23.npz,1958,9,0.0,67.63302520966583,"forehead_strip,left_cheek_big,right_cheek_big",,28.93556799999969,1.000058769962187
UBFC,'vid_24,vid_24,Dataset/3_ROI/UBFC_RAW/vid_24.npz,2009,9,0.0,68.37347471478762,"forehead_strip,left_cheek_big,right_cheek_big",,29.36811399999982,1.0007243347719121
UBFC,'vid_25,vid_25,Dataset/3_ROI/UBFC_RAW/vid_25.npz,1448,9,0.0,62.35246499719199,"forehead_strip,left_cheek_big,right_cheek_big",,23.20678099999996,1.0012274575321354
UBFC,'vid_26,vid_26,Dataset/3_ROI/UBFC_RAW/vid_26.npz,1485,9,0.0,63.57314488722407,"forehead_strip,left_cheek_big,right_cheek_big",,23.34318999999923,0.9996831226886792
UBFC,'vid_27,vid_27,Dataset/3_ROI/UBFC_RAW/vid_27.npz,1431,9,0.0,61.20312504012442,"forehead_strip,left_cheek_big,right_cheek_big",,23.364819999999906,0.9998182275804197
UBFC,'vid_3,vid_3,Dataset/3_ROI/UBFC_RAW/vid_3.npz,1801,9,0.0,60.91726991403321,"forehead_strip,left_cheek_big,right_cheek_big",,29.54827099999956,1.0001925576438888
UBFC,'vid_30,vid_30,Dataset/3_ROI/UBFC_RAW/vid_30.npz,2028,9,0.0,68.06113763771846,"forehead_strip,left_cheek_big,right_cheek_big",,29.782046999999434,1.0000714410962013
UBFC,'vid_31,vid_31,Dataset/3_ROI/UBFC_RAW/vid_31.npz,2027,9,0.0,68.40580375637674,"forehead_strip,left_cheek_big,right_cheek_big",,29.617369999999532,1.0004268094521225
UBFC,'vid_32,vid_32,Dataset/3_ROI/UBFC_RAW/vid_32.npz,2033,9,0.0,68.076881044294,"forehead_strip,left_cheek_big,right_cheek_big",,29.84860599999863,1.0002367757667323
