seq,status,n_frames,n_gt_samples,fps_from_video,t_frame_monotonic,t_frame_dt_median,t_frame_dt_std,fps_est_median,video_duration_s,gt_duration_s,duration_ratio_gt_over_video,gt_nan_frac,y_nan_frac,gt_std,y_std,y_jump_frac,roi_check_frames,face_fail_frac_est,forehead_strip_pix_med,forehead_strip_pix_min,forehead_strip_pix_zero_frac,left_cheek_big_pix_med,left_cheek_big_pix_min,left_cheek_big_pix_zero_frac,right_cheek_big_pix_med,right_cheek_big_pix_min,right_cheek_big_pix_zero_frac
vid_1,OK,1547,1547,29.264106,True,0.03417155473671407,2.199518842429188e-15,29.26410599999992,52.82922362295981,52.691,0.997383576485123,0.0,0.0,1.025145564049015,1.01265563831504,0.000646830530401035,300,0.0,2919.0,2762.0,0.0,1496.0,1447.0,0.0,1311.5,1247.0,0.0
vid_10,OK,2024,2024,29.875482,True,0.03347226330942554,2.829640664764009e-15,29.875481999999902,67.71438867496765,67.716,1.0000237959031142,0.0,0.0,1.0066779805821335,0.9855584042633181,0.0,300,0.0,3058.0,2839.0,0.0,1596.5,1500.0,0.0,1327.0,1245.0,0.0
vid_11,OK,2031,2031,29.700708,True,0.03366923104998065,2.941031738717938e-15,29.70070799999974,68.34853903146013,68.38,1.0004603019901477,0.0,0.0,0.9924442324943342,0.9665402481743405,0.00935960591133005,300,0.0,3064.0,2363.0,0.0,1575.0,1448.0,0.0,1393.5,1271.0,0.0
vid_12,OK,1989,1989,29.029684,True,0.03444749863622398,2.7518817695856356e-15,29.029683999999616,68.48162728881238,68.397,0.9987642336760564,0.0,0.0,1.008327784252096,0.9985495457442979,0.0482897384305835,300,0.0,2956.0,2494.0,0.0,1354.0,1288.0,0.0,1499.0,777.0,0.0
vid_13,OK,2018,2018,29.7903,True,0.03356797346787488,2.5673737246713348e-15,29.790299999999018,67.7066024847014,67.725,1.0002717240951906,0.0,0.0,1.0092469190907012,0.9857530338808426,0.0,300,0.0,3141.5,2967.0,0.0,1402.0,1317.0,0.0,1553.0,1395.0,0.0
vid_14,OK,1993,1993,29.371997,True,0.03404603371027193,2.8675677896003155e-15,29.371996999999826,67.81969915086128,67.868,1.0007121949779114,0.0,0.0,0.9988473585368521,0.9839397392753538,0.0356425702811245,300,0.0,2516.0,2287.0,0.0,1215.5,1155.0,0.0,1399.0,1280.0,0.0
vid_15,OK,2020,2020,29.590537,True,0.033794587776490914,1.858421330867884e-15,29.590536999999937,68.231272720735,68.269,1.0005529323689948,0.0,0.0,1.0062947377598168,0.9815300054855843,0.0014858841010401188,300,0.0,2296.0,2050.0,0.0,1358.5,1305.0,0.0,1106.0,1032.0,0.0
vid_16,OK,2050,2050,29.931836,True,0.033409243589332505,2.494202033673914e-15,29.93183600000144,68.4555401145456,68.455,0.9999921099951196,0.0,0.0,1.001532851633521,0.9893482167815828,0.022938018545632016,300,0.0,2601.5,2419.0,0.0,1073.5,961.0,0.0,1395.0,1302.0,0.0
vid_17,OK,2046,2046,29.932847,True,0.033408115171937425,1.7190554085953906e-15,29.93284700000055,68.3195955266133,68.232,0.9987178564811734,0.0,0.0,1.0007820498706361,0.9820786283111383,0.018092909535452322,300,0.0,3203.0,3046.0,0.0,1112.5,1045.0,0.0,1707.5,1601.0,0.0
vid_18,OK,2034,2034,29.747793,True,0.03361593917236144,2.8374189308788223e-15,29.747793000000016,68.34120433741084,68.366,1.0003628215632072,0.0,0.0,0.9861143150451999,0.9631307091646906,0.0,300,0.0,4201.5,3857.0,0.0,1342.0,1267.0,0.0,2049.0,1951.0,0.0
